source,target,label,trafico_mbps,capacidad_mbps,rol,diagrams
BAL-AUL2-D1,MICRORED-1A-A109,D1: int1/1/3 11.02 Mbps,11.02,,principal,17;22
BAL-CENTEC-D2,CEA-0A-A108,D2: lag70 4.99 Mbps,4.99,,principal,17;24
BAL-CENTEC-D2,VLIR-0A-A107,D2: int1/1/3 13.75 Mbps,13.75,,principal,17;24
CB-EADMI-D6,BAL-EADM-D3,D3: int 1/1/6 19.63 Mbps,19.63,,principal,17
BAL-AUL1-D4,AUL1-2A-A110,D4: 1/1/1 65.9 Mbps,65.9,,principal,18
BAL-AUL1-D4,AUL1-2A-A111,D4: 1/1/2 77.62 Mbps,77.62,,principal,18
BAL-AUL1-D4,AUL1-3A-A112,D4: 1/1/3 29.78 Mbps,29.78,,principal,18
BAL-AUL1-D4,AUL1-3A-A104,D4: 1/1/4 84.67 Mbps,84.67,,principal,18
BAL-AUL2-D1,AUL2-0A-A106,D1: lag30 68.5 Mbps,68.5,,principal,19
BAL-AUL2-D1,AUL2-0A-A122,D1: lag31 1.22 Mbps,1.22,,principal,19
BAL-AUL2-D1,AUL2-0A-A121,D1: lag32 81.71 Mbps,81.71,,principal,19
BAL-AUL2-D1,AUL2-0A-A119,D1: lag33 1.33 Mbps,1.33,,principal,19
BAL-AUL2-D1,AUL2-0A-A118,D1: lag34 2.69 Mbps,2.69,,principal,19
BAL-AUL2-D1,AUL2-0A-A120,D1: lag35 5.03 Mbps,5.03,,principal,19
BAL-AUL2-D1,AUL2-0A-A123,D1: lag36 1.35 Mbps,1.35,,principal,19
BAL-AUL2-D1,AUL2-01A-A124-SUBLAB2,D1: 1/1/17 25.46 Mbps,25.46,,principal,19
BAL-AUL2-D1,AUL2-01A-A24-SUB,D1: 1/1/22 78.4 Mbps,78.4,,principal,19
BAL-CENTEC-D2,CTBLOQ1-0A-A101,D2: lag60 5.65 Mbps,5.65,,principal,20
BAL-CENTEC-D2,CTBLOQ2-0A-A102,D2: lag50 22.29 Mbps,22.29,,principal,20
BAL-CENTEC-D2,CTBLOQ3-0A-A103,D2: lag40 12.91 Mbps,12.91,,principal,20
CB-EADMI-D6,EA-1A-A115,D3: lag100 50.53 Mbps,50.53,,principal,21
CB-EADMI-D6,EA-0A-A114,D3: lag90 20.91 Mbps,20.91,,principal,21
CB-EADMI-D6,EA-1A-A116,D3: int1/1/5 1.86 Mbps,1.86,,principal,21
BAL-EADM-D3,QUIN-1A-A117,BAL-EADM-D3: int 1/1/6 54.06 Mbps,54.06,,principal,23
QUIN-1A-A117,QUIN-1A-A128,,,,principal,23
AGRPRI-1A-D10,TALL-0A-A12,D10: 1/1/3 10.56 Mbps,10.56,,principal,25
AGRPRI-1A-D10,DAN-1A-A11,D10: 1/1/4 10.28 Mbps,10.28,,principal,25
AGRPRI-1A-D10,LABMAC-1A-A13,D10: lag110 19.07 Mbps,19.07,,principal,25
AGRPRI-1A-D10,ART-0A-A15,D10: lag120 40.41 Mbps,40.41,,principal,25
AGRPRI-1A-D10,BLOQUED-0A-A21,D10: lag190 9.74 Mbps,9.74,,principal,25
AGRPRI-1A-D10,BIB-2A-A16,D10: lag130 68.33 Mbps,68.33,,principal,25
AGRPRI-1A-D10,LAC-0A-A17,D10: lag140 11.7 Mbps,11.7,,principal,25
AGRPRI-1A-D10,LAB-1A-A18,D10: lag150 17.54 Mbps,17.54,,principal,25
AGRPRI-1A-D10,AGRPRI-1A-A19,D10: lag160 30.48 Mbps,30.48,,principal,25
AGRPRI-1A-D10,ANF-0A-A14,D10: 1/1/19 6.44 Mbps,6.44,,principal,25
AGRPRI-1A-D10,CEN-1A-A20,D10: lag180 5.32 Mbps,5.32,,principal,25
HOS-0A-D05,HOS-0A-A10,D5: lag60 26.42 Mbps,26.42,,principal,26
HOS-0A-D05,HOS-2A-A11,D5: lag61 91.33 Mbps,91.33,,principal,26
HOS-0A-D05,HOS-1A-A12,D5: lag62 50.77 Mbps,50.77,,principal,26
HOS-0A-D05,HOS-0A-A13,D5: 1/1/7 21.7 Mbps,21.7,,principal,26
CPAR-C10,ROUTER-CAMPUS-HUAYNA-CAPAC,C10: 1/1/25 Link-to-VPLS-CEDIA 317.83 Mbps,317.83,,principal,27
CPAR-C10,CP-EADMINA1-D6,C10: lag211 Con Redundancia 76.7 Mbps,76.7,,principal,27
CPAR-C10,CP-INVESTIGACION-D5,C10: lag205 84.7 Mbps,84.7,,principal,27
CPAR-C10,CP-ENFERMERIA-D1,C10: lag201 147.9 Mbps,147.9,,principal,27
CPAR-C10,CP-TECMEDICO-D3,C10: lag203 113.56 Mbps,113.56,,principal,27
CPAR-C10,CP-POSGRADO-D2,C10: lag202 40.79 Mbps,40.79,,principal,27
CPAR-C10,CP-ODONTOLOGIA-D4,C10: lag204 216.33 Mbps,216.33,,principal,27
CP-EADMINA1-D6,MEDADM-1A-A11,D6: lag11 26.87 Mbps,26.87,,principal,28
CP-EADMINA1-D6,MEDADM-1B-A12,D6: lag12 1.77 Mbps,1.77,,principal,28
CP-EADMINA1-D6,MEDADM-1C-A13,D6: lag13 1.77 Mbps,1.77,,principal,28
CP-EADMINA1-D6,MEDADM-1D-A14,D6: lag14 20.96 Mbps,20.96,,principal,28
CP-EADMINA1-D6,MEDADM-1E-A15,D6: lag15 1.77 Mbps,1.77,,principal,28
CP-EADMINA1-D6,MEDADM-0F-A16,D6: lag16 35.48 Mbps,35.48,,principal,28
CP-EADMINA1-D6,MEDADM-0G-A17,D6: lag17 2.33 Mbps,2.33,,principal,28
CP-EADMINA1-D6,MEDADM-1H-A18,D6: lag18 11.62 Mbps,11.62,,principal,28
CP-INVESTIGACION-D5,INV-1A-A61,D5: lag61 1.65 Mbps,1.65,,principal,29
CP-INVESTIGACION-D5,INV-1A-A161,D5: lag64 51.44 Mbps,51.44,,principal,29
CP-INVESTIGACION-D5,CENDIA-0A-A19,D5: lag63 6.65 Mbps,6.65,,principal,29
CP-INVESTIGACION-D5,INV-1B-A62,D5: lag62 61.87 Mbps,61.87,,principal,29
INV-1B-A62,INV-1B-A162,A62:lag110 54.09 Mbps,54.09,,principal,29
CP-ODONTOLOGIA-D4,ODO-1A-A151,D4: lag54 22.75 Mbps,22.75,,principal,30
CP-ODONTOLOGIA-D4,ODO-1A-A51,D4: lag51 2.82 Mbps,2.82,,principal,30
CP-ODONTOLOGIA-D4,ODO-0B-A52,D4: lag52 14.98 Mbps,14.98,,principal,30
CP-ODONTOLOGIA-D4,ODO-0C-A53,D4: lag53 18.33 Mbps,18.33,,principal,30
CP-ODONTOLOGIA-D4,ODO-0C-A154,D4: 1/1/9 53.04 Mbps,53.04,,principal,30
ODO-0B-A52,ODO-0B-A152,A52: 1/1/52 11.77 Mbps,11.77,,principal,30
ODO-0C-A53,ODO-0C-A153,A53: lag110 14.26 Mbps,14.26,,principal,30
ODO-0C-A53,ODO-0C-A54,A53: lag111 1.56 Mbps,1.56,,principal,30
CP-TECMEDICO-D3,TECMED-1A-A41,D3: lag41 38.04 Mbps,38.04,,principal,31
CP-TECMEDICO-D3,TECMED-0B-A42,D3: lag42 29.42 Mbps,29.42,,principal,31
CP-TECMEDICO-D3,TECMED-2C-A43,D3: lag43 53.8 Mbps,53.8,,principal,31
