id,label,campus,capa,diagrams
BAL-CENTEC-D2,BAL-CENTEC-D2,Campus Balzay,agregacion,17;20;24
BAL-EADM-D3,BAL-EADM-D3,Campus Balzay,agregacion,17;23
BIB-2A-A16,BIB-2A-A16,Campus Yanuncay,acceso,25
BLOQUED-0A-A21,BLOQUED-0A-A21,Campus Yanuncay,acceso,25
CB-EADMI-D6,CB-EADMI-D6,Campus Balzay,agregacion,17;21
CC-ADM-D40,CC-ADM-D40,Campus Central,agregacion,1;2
CC-AETUC-D30,CC-AETUC-D30,Campus Central,agregacion,1;3
CC-ARQUITECTURA-D107,CC-ARQUITECTURA-D107,Campus Central,agregacion,1;10
CC-BIBLIOTECA-D112,CC-BIBLIOTECA-D112,Campus Central,agregacion,1;13
CC-BLOQUE-IQ,CC-BLOQUE-IQ,Campus Central,agregacion,1
CC-ECONOMIA-D51,CC-ECONOMIA-D51,Campus Central,agregacion,1;4;15
CC-FILOSOFIA-A-D108,CC-FILOSOFIA-A-D108,Campus Central,agregacion,1;5;9
CC-FILOSOFIA-B-D111,CC-FILOSOFIA-B-D111,Campus Central,agregacion,1;6
CC-JURISPRUDENCIA-D110,CC-JURISPRUDENCIA-D110,Campus Central,agregacion,1;7
CC-MONJAS-D126,CC-MONJAS-D126,Campus Central,agregacion,1;14
CC-PROMAS-D31,CC-PROMAS-D31,Campus Central,agregacion,1;12
CC-PSICOLOGIA-D125,CC-PSICOLOGIA-D125,Campus Central,agregacion,1;8
CC-QUIMICA-D109,CC-QUIMICA-D109,Campus Central,agregacion,1;11
CCADM-2A-A43,CCADM-2A-A43,Campus Central,acceso,2
CCADM-2A-A44,CCADM-2A-A44,Campus Central,acceso,2
CCADM-2A-A45,CCADM-2A-A45,Campus Central,acceso,2
CCBIB-1A-A71,CCBIB-1A-A71,Campus Central,acceso,13
CCJ-1A-A10,CCJ-1A-A10,Campus Central,acceso,16
CCJ-1A-A11,CCJ-1A-A11,Campus Central,acceso,16
CCJ-CJURIDICO-D4,CCJ-CJURIDICO-D4,Campus Central,agregacion,0;16
CEA-0A-A108,CEA-0A-A108,Campus Balzay,acceso,17;24
CEN-1A-A20,CEN-1A-A20,Campus Yanuncay,acceso,25
CENDIA-0A-A19,CENDIA-0A-A19,Campus Paraiso,acceso,29
CMED-0A-A42,CMED-0A-A42,Campus Central,acceso,2
CP-EADMINA1-D6,CP-EADMINA1-D6,Campus Paraiso,agregacion,27;28
CP-ENFERMERIA-D1,CP-ENFERMERIA-D1,Campus Paraiso,agregacion,27;33
CP-INVESTIGACION-D5,CP-INVESTIGACION-D5,Campus Paraiso,agregacion,27;29
CP-ODONTOLOGIA-D4,CP-ODONTOLOGIA-D4,Campus Paraiso,agregacion,27;30
CP-POSGRADO-D2,CP-POSGRADO-D2,Campus Paraiso,agregacion,27;32
CP-TECMEDICO-D3,CP-TECMEDICO-D3,Campus Paraiso,agregacion,27;31
CPAR-C10,CPAR-C10,Campus Paraiso,core,27
CREDU-0B-A94,CREDU-0B-A94,Campus Central,acceso,12
CTBLOQ1-0A-A101,CTBLOQ1-0A-A101,Campus Balzay,acceso,20
CTBLOQ2-0A-A102,CTBLOQ2-0A-A102,Campus Balzay,acceso,20
CTBLOQ3-0A-A103,CTBLOQ3-0A-A103,Campus Balzay,acceso,20
DAN-1A-A11,DAN-1A-A11,Campus Yanuncay,acceso,25
DATCC-2A-C2,DATCC-2A-C2,Campus Central,core,1;34
DATCC-2A-C3,DATCC-2A-C3,Campus Central,core,1;34
DT-0A-C12,DT-0A-C12,Campus Balzay,core,17;34
DT-0A-C13,DT-0A-C13,Campus Balzay,core,17;34
EA-0A-A114,EA-0A-A114,Campus Balzay,acceso,21
EA-1A-A115,EA-1A-A115,Campus Balzay,acceso,21
EA-1A-A116,EA-1A-A116,Campus Balzay,acceso,21
ECOK1-1A-A101,ECOK1-1A-A101,Campus Central,acceso,4
ECOK1-1A-A102,ECOK1-1A-A102,Campus Central,acceso,4
ECOK2-1A-A52,ECOK2-1A-A52,Campus Central,acceso,4
ECOK3-0A-A63,ECOK3-0A-A63,Campus Central,acceso,14
ENF-2B-A122,ENF-2B-A122,Campus Paraiso,acceso,33
ENF-2B-A22,ENF-2B-A22,Campus Paraiso,acceso,33
ENF-3A-A21,ENF-3A-A21,Campus Paraiso,acceso,33
FILOA-0B-A56,FILOA-0B-A56,Campus Central,acceso,5
FILOA-2A-A55,FILOA-2A-A55,Campus Central,acceso,5
FILOB-1B-A58,FILOB-1B-A58,Campus Central,acceso,6
FILOB-2A-A57,FILOB-2A-A57,Campus Central,acceso,6
FORTIGATE-1800F-BALZAY,FORTIGATE-1800F-BALZAY,Campus Balzay,interconexion,34
FORTIGATE-1800F-CENTRAL,FORTIGATE-1800F-CENTRAL,Campus Central,interconexion,34
HOS-0A-A10,HOS-0A-A10,Campus Hospitalidad,acceso,26
HOS-0A-A13,HOS-0A-A13,Campus Hospitalidad,acceso,26
HOS-0A-D05,HOS-0A-D05,Campus Hospitalidad,agregacion,0;26
HOS-1A-A12,HOS-1A-A12,Campus Hospitalidad,acceso,26
HOS-2A-A11,HOS-2A-A11,Campus Hospitalidad,acceso,26
INTERNET-MPLS,INTERNET-MPLS,Nube MPLS,wan,0;34
INV-1A-A161,INV-1A-A161,Campus Paraiso,acceso,29
INV-1A-A61,INV-1A-A61,Campus Paraiso,acceso,29
INV-1B-A162,INV-1B-A162,Campus Paraiso,acceso,29
INV-1B-A62,INV-1B-A62,Campus Paraiso,acceso,29
JUR-0A-A59,JUR-0A-A59,Campus Central,acceso,7
JUR-0A-A60,JUR-0A-A60,Campus Central,acceso,7
JUR-1A-A61,JUR-1A-A61,Campus Central,acceso,7
JUR-1A-A62,JUR-1A-A62,Campus Central,acceso,7
LAB-1A-A18,LAB-1A-A18,Campus Yanuncay,acceso,25
LABMAC-1A-A13,LABMAC-1A-A13,Campus Yanuncay,acceso,25
LAC-0A-A17,LAC-0A-A17,Campus Yanuncay,acceso,25
MEDADM-0F-A16,MEDADM-0F-A16,Campus Paraiso,acceso,28
MEDADM-0G-A17,MEDADM-0G-A17,Campus Paraiso,acceso,28
MEDADM-1A-A11,MEDADM-1A-A11,Campus Paraiso,acceso,28
MEDADM-1B-A12,MEDADM-1B-A12,Campus Paraiso,acceso,28
MEDADM-1C-A13,MEDADM-1C-A13,Campus Paraiso,acceso,28
MEDADM-1D-A14,MEDADM-1D-A14,Campus Paraiso,acceso,28
MEDADM-1E-A15,MEDADM-1E-A15,Campus Paraiso,acceso,28
MEDADM-1H-A18,MEDADM-1H-A18,Campus Paraiso,acceso,28
MICRORED-1A-A109,MICRORED-1A-A109,Campus Balzay,acceso,17;22
MON-0A-A103,MON-0A-A103,Campus Central,acceso,14
MON-0A-A104,MON-0A-A104,Campus Central,acceso,14
MON-1B-A67,MON-1B-A67,Campus Central,acceso,14
MON-1B-A68,MON-1B-A68,Campus Central,acceso,14
MON-1C-A105,MON-1C-A105,Campus Central,acceso,14
MON-1C-A106,MON-1C-A106,Campus Central,acceso,14
ODO-0B-A152,ODO-0B-A152,Campus Paraiso,acceso,30
ODO-0B-A52,ODO-0B-A52,Campus Paraiso,acceso,30
ODO-0C-A153,ODO-0C-A153,Campus Paraiso,acceso,30
ODO-0C-A154,ODO-0C-A154,Campus Paraiso,acceso,30
ODO-0C-A53,ODO-0C-A53,Campus Paraiso,acceso,30
ODO-0C-A54,ODO-0C-A54,Campus Paraiso,acceso,30
ODO-1A-A151,ODO-1A-A151,Campus Paraiso,acceso,30
ODO-1A-A51,ODO-1A-A51,Campus Paraiso,acceso,30
PE1-BALZAY,PE1-BALZAY,Campus Balzay,wan,34
PE1-CENTRAL,PE1-CENTRAL,Campus Central,wan,34
PE2-BALZAY,PE2-BALZAY,Campus Balzay,wan,34
PE2-CENTRAL,PE2-CENTRAL,Campus Central,wan,34
POS-0A-A131,POS-0A-A131,Campus Paraiso,acceso,32
POS-0A-A31,POS-0A-A31,Campus Paraiso,acceso,32
POS-1B-A32,POS-1B-A32,Campus Paraiso,acceso,32
POS-2C-A133,POS-2C-A133,Campus Paraiso,acceso,32
POS-2C-A33,POS-2C-A33,Campus Paraiso,acceso,32
POSLAB-0D-A34,POSLAB-0D-A34,Campus Paraiso,acceso,32
POST-1A-A64,POST-1A-A64,Campus Central,acceso,1;9
POST-1A-A65,POST-1A-A65,Campus Central,acceso,9
POST-2A-A66,POST-2A-A66,Campus Central,acceso,9
PRO-1A-A73,PRO-1A-A73,Campus Central,acceso,12
PRO-3A-A74,PRO-3A-A74,Campus Central,acceso,12
PSIC-1A-A53,PSIC-1A-A53,Campus Central,acceso,8
PSIC-2B-A54,PSIC-2B-A54,Campus Central,acceso,8
QUI-0A-A78,QUI-0A-A78,Campus Central,acceso,11
QUI-1A-A83,QUI-1A-A83,Campus Central,acceso,11
QUI-2A-A81,QUI-2A-A81,Campus Central,acceso,11
QUI-2A-A82,QUI-2A-A82,Campus Central,acceso,11
QUIN-1A-A117,QUIN-1A-A117,Campus Balzay,acceso,23
QUIN-1A-A128,QUIN-1A-A128,Campus Balzay,acceso,23
ROUTER-CAMPUS-CENTRO-HISTORICO,ROUTER-CAMPUS-CENTRO-HISTORICO,Sede Centro Historico,wan,34
ROUTER-CAMPUS-HUAYNA-CAPAC,ROUTER-CAMPUS-HUAYNA-CAPAC,Campus Paraiso,wan,27;34
ROUTER-CAMPUS-MUSEO,ROUTER-CAMPUS-MUSEO,Sede Museo,wan,34
ROUTER-CAMPUS-PARAISO,ROUTER-CAMPUS-PARAISO,Campus Paraiso,wan,34
ROUTER-CAMPUS-YANUNCAY,ROUTER-CAMPUS-YANUNCAY,Campus Yanuncay,wan,0;34
ROUTER-L2TP-BALZAY,ROUTER-L2TP-BALZAY,Campus Balzay,wan,34
SW-ARUBA-CENTRO-HISTORICO,SW-ARUBA-CENTRO-HISTORICO,Sede Centro Historico,acceso,34
SW-ARUBA-MUSEO,SW-ARUBA-MUSEO,Sede Museo,acceso,34
TALL-0A-A12,TALL-0A-A12,Campus Yanuncay,acceso,25
TEAT-0A-A75,TEAT-0A-A75,Campus Central,acceso,2
TECMED-0B-A42,TECMED-0B-A42,Campus Paraiso,acceso,31
TECMED-1A-A141,TECMED-1A-A141,Campus Paraiso,acceso,31
TECMED-1A-A41,TECMED-1A-A41,Campus Paraiso,acceso,31
TECMED-2C-A43,TECMED-2C-A43,Campus Paraiso,acceso,31
TECMED-3D-A44,TECMED-3D-A44,Campus Paraiso,acceso,31
TECQUI-0A-A10,TECQUI-0A-A10,Campus Central,acceso,15
TECQUI-0A-A11,TECQUI-0A-A11,Campus Central,acceso,15
TECQUI-0A-A12,TECQUI-0A-A12,Campus Central,acceso,15
VIN-0A-A72,VIN-0A-A72,Campus Central,acceso,13
VLIR-0A-A107,VLIR-0A-A107,Campus Balzay,acceso,17;24
