nodo,campus,capa,btw_norm,es_articulacion,en_corte,danio_cascada_norm,ICC,rank
INV-1A-A161,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,125
HOS-1A-A12,Campus Hospitalidad,acceso,0.0,0,0,0.0909,0.0182,126
HOS-2A-A11,Campus Hospitalidad,acceso,0.0,0,0,0.0909,0.0182,127
HOS-0A-A10,Campus Hospitalidad,acceso,0.0,0,0,0.0909,0.0182,128
HOS-0A-A13,Campus Hospitalidad,acceso,0.0,0,0,0.0909,0.0182,129
ECOK1-1A-A102,Campus Central,acceso,0.0,0,0,0.0909,0.0182,130
ECOK2-1A-A52,Campus Central,acceso,0.0,0,0,0.0909,0.0182,131
FILOB-1B-A58,Campus Central,acceso,0.0,0,0,0.0909,0.0182,132
FILOB-2A-A57,Campus Central,acceso,0.0,0,0,0.0909,0.0182,133
FILOA-2A-A55,Campus Central,acceso,0.0,0,0,0.0909,0.0182,134
ENF-2B-A122,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,135
ENF-3A-A21,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,136
ODO-0B-A152,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,137
ODO-0C-A153,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,138
MON-0A-A103,Campus Central,acceso,0.0,0,0,0.0909,0.0182,139
MEDADM-1A-A11,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,140
MEDADM-1B-A12,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,141
MEDADM-1E-A15,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,142
MEDADM-1H-A18,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,143
MEDADM-1C-A13,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,144
MEDADM-1D-A14,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,145
POSLAB-0D-A34,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,146
POS-2C-A133,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,147
POS-0A-A31,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,148
POS-1B-A32,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,149
POS-0A-A131,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,150
ODO-0C-A54,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,151
ODO-0C-A154,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,152
ODO-1A-A51,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,153
ODO-1A-A151,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,154
MICRORED-1A-A109,Campus Balzay,acceso,0.0,0,0,0.0909,0.0182,155
MON-1B-A68,Campus Central,acceso,0.0,0,0,0.0909,0.0182,156
MON-0A-A104,Campus Central,acceso,0.0,0,0,0.0909,0.0182,157
MON-1C-A105,Campus Central,acceso,0.0,0,0,0.0909,0.0182,158
MON-1C-A106,Campus Central,acceso,0.0,0,0,0.0909,0.0182,159
QUI-1A-A83,Campus Central,acceso,0.0,0,0,0.0909,0.0182,160
QUI-0A-A78,Campus Central,acceso,0.0,0,0,0.0909,0.0182,161
QUI-2A-A81,Campus Central,acceso,0.0,0,0,0.0909,0.0182,162
QUIN-1A-A128,Campus Balzay,acceso,0.0,0,0,0.0909,0.0182,163
POST-2A-A66,Campus Central,acceso,0.0,0,0,0.0909,0.0182,164
PRO-3A-A74,Campus Central,acceso,0.0,0,0,0.0909,0.0182,165
PSIC-1A-A53,Campus Central,acceso,0.0,0,0,0.0909,0.0182,166
PSIC-2B-A54,Campus Central,acceso,0.0,0,0,0.0909,0.0182,167
TALL-0A-A12,Campus Yanuncay,acceso,0.0,0,0,0.0909,0.0182,168
TEAT-0A-A75,Campus Central,acceso,0.0,0,0,0.0909,0.0182,169
TECMED-1A-A141,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,170
TECMED-0B-A42,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,171
TECMED-2C-A43,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,172
TECMED-3D-A44,Campus Paraiso,acceso,0.0,0,0,0.0909,0.0182,173
TECQUI-0A-A11,Campus Central,acceso,0.0,0,0,0.0909,0.0182,174
TECQUI-0A-A12,Campus Central,acceso,0.0,0,0,0.0909,0.0182,175
VIN-0A-A72,Campus Central,acceso,0.0,0,0,0.0909,0.0182,176
VLIR-0A-A107,Campus Balzay,acceso,0.0,0,0,0.0909,0.0182,177
