t,S,I,R,caso,beta,tipo
32,20.00191657483519,5.105117258420438,16.082046580650804,sub_critico,0.0931,std
33,20.102211044780347,4.869861964733246,16.62544903320074,sub_critico,0.0931,std
34,20.38746891815874,4.798610910114163,16.868774571839996,sub_critico,0.0931,std
35,20.450916849862747,4.763285514105667,17.03121317529148,sub_critico,0.0931,std
36,20.53952828626359,4.459820624195552,17.23355899271986,sub_critico,0.0931,std
37,20.709659581943882,4.290687590584987,17.652950650434242,sub_critico,0.0931,std
38,20.837999477450378,4.1952353926806065,17.92453315679069,sub_critico,0.0931,std
39,21.073126646671742,4.168799454146108,18.295597527517074,sub_critico,0.0931,std
40,21.101895649443442,4.181971890016585,18.451166780330055,sub_critico,0.0931,std
41,21.14628940394876,4.033884259894205,18.882796403075478,sub_critico,0.0931,std
42,21.217498019847252,3.7901920209345015,19.064364662899205,sub_critico,0.0931,std
43,21.34502283906016,3.7941475400352522,19.232755623906023,sub_critico,0.0931,std
44,21.444009782583937,3.7637156581702023,19.40034363956817,sub_critico,0.0931,std
45,21.4736013643626,3.639902318591652,19.495868508196526,sub_critico,0.0931,std
46,21.539627563065146,3.675897471668956,19.67290861396284,sub_critico,0.0931,std
47,21.685222823132094,3.547142825179474,19.89193024542588,sub_critico,0.0931,std
48,21.748460992804883,3.165964834506748,20.15123376426918,sub_critico,0.0931,std
49,21.8026756767757,3.0760725320158206,20.24859391551808,sub_critico,0.0931,std
50,21.87449047025629,2.982169232846006,20.42318943423545,sub_critico,0.0931,std
0,176.0,1.0,0.0,sobre_critico,0.3722,media
1,169.63333333333333,7.266666666666667,0.1,sobre_critico,0.3722,media
2,158.13333333333333,18.1,0.7666666666666667,sobre_critico,0.3722,media
3,144.23333333333332,30.366666666666667,2.4,sobre_critico,0.3722,media
4,130.6,41.13333333333333,5.266666666666667,sobre_critico,0.3722,media
5,117.76666666666667,50.166666666666664,9.066666666666666,sobre_critico,0.3722,media
6,107.86666666666666,55.233333333333334,13.9,sobre_critico,0.3722,media
7,96.63333333333334,60.36666666666667,20.0,sobre_critico,0.3722,media
